region,district,R,F,M,total_restaurants,population,R_scaled,F_scaled,M_scaled,cluster,cluster_name,potential_score,density_weight,growth_multiplier,estimated_ltv,investment_score,marketing_investment,expected_additional_revenue,roi_ratio
강원특별자치도,강릉시,5.94900849858357,4,0.06269227008919526,5984,178746.0,1.0029693035403298,0.0,-0.5216260374796814,1,저밀도 성장형,0.19253730642425934,1.0,1.0594900849858357,6339.988668555241,6717.155133256828,100000000,17847025.49575071,17.84702549575071
강원특별자치도,고성군,4.70974808324206,4,0.3885247034247884,956,22369.0,0.16865864748321302,0.0,1.6401521510795312,0,고밀도 안정형,0.7235243194250978,1.2,1.0470974808324205,1201.2302300109527,1257.8051477442177,50000000,8477546.549835706,16.955093099671412
강원특별자치도,동해시,4.327335047129392,4,0.15666594285070892,2435,71625.0,-0.08879431970127592,0.0,0.10185467005751266,1,저밀도 성장형,0.005224140142494692,1.2,1.0432733504712939,3048.4447300771208,3180.361147274117,100000000,15578406.16966581,15.57840616966581
강원특별자치도,삼척시,2.010338885697875,4,0.20953252656231802,1776,46317.0,-1.648671939929334,0.0,0.4526049818095871,0,고밀도 안정형,-0.4784267832478988,1.2,1.0201033888569788,2174.044342331993,2217.7500011382076,50000000,3618609.994256175,7.23721998851235
강원특별자치도,속초시,5.49558390578999,4,0.21165275402563538,3225,65962.0,0.6977090331380079,0.0,0.4666719101324128,1,저밀도 성장형,0.4657523773081683,1.2,1.0549558390579,4082.679097154072,4307.046152542323,100000000,19784102.06084396,19.78410206084396
강원특별자치도,양구군,3.6020583190394513,4,0.49826309116152223,604,15743.0,-0.5770743416762573,0.0,2.368225936210026,0,고밀도 안정형,0.7164606378135077,1.2,1.0360205831903946,750.907718696398,777.955852646011,50000000,6483704.9742710125,12.967409948542025
강원특별자치도,양양군,3.861003861003861,4,0.44176865117684544,1076,21747.0,-0.4027437309951629,0.0,1.993406134253863,0,고밀도 안정형,0.6362649613034801,1.2,1.0386100386100385,1341.0532818532815,1392.8314008437555,50000000,6949806.949806949,13.8996138996139
강원특별자치도,영월군,3.0878859857482186,4,0.31783136482939633,868,28448.0,-0.92323197844416,0.0,1.1711278864061971,0,고밀도 안정형,0.09915836318481486,1.2,1.0308788598574823,1073.7634204275537,1106.920010607027,50000000,5558194.774346794,11.116389548693588
강원특별자치도,원주시,4.588492352512746,4,0.04514304624186236,8616,292730.0,0.08702532247494146,0.0,-0.6380586741909368,1,저밀도 성장형,-0.22041334068639812,1.0,1.0458849235251275,9011.344501092499,9424.829354383706,100000000,13765477.057538236,13.765477057538236
강원특별자치도,인제군,2.2598870056497176,4,0.35201657524824304,1086,23023.0,-1.480667981199266,0.0,1.397934166856048,0,고밀도 안정형,-0.03309352573728708,1.2,1.0225988700564972,1332.6508474576272,1362.767250790003,50000000,4067796.6101694913,8.135593220338983
강원특별자치도,정선군,2.8545941123996434,4,0.290065009279313,1153,27797.0,-1.0802917001109786,0.0,0.9869083438963593,0,고밀도 안정형,-0.03735334248584771,1.2,1.0285459411239963,1423.0961641391614,1463.719783454463,50000000,5138269.402319358,10.276538804638715
강원특별자치도,철원군,2.6591458501208702,4,0.3368256744709405,1274,32054.0,-1.21187386468943,0.0,1.2971481351256933,0,고밀도 안정형,0.034109708174505315,1.2,1.0265914585012088,1569.453021756648,1611.1870666542866,50000000,4786462.530217566,9.57292506043513
강원특별자치도,춘천시,3.758594346829641,4,0.04715296166634331,6791,242459.0,-0.471689166433475,0.0,-0.6247236256170077,1,저밀도 성장형,-0.4385651168201931,1.0,1.0375859434682964,7046.2461420932,7311.085951253617,100000000,11275783.040488923,11.275783040488923
강원특별자치도,태백시,3.616636528028933,4,0.24290735945710842,1146,29672.0,-0.5672598144343776,0.0,0.674034705855677,0,고밀도 안정형,0.04270995656851981,1.2,1.0361663652802893,1424.9359855334535,1476.4707408872853,50000000,6509945.750452081,13.019891500904162
강원특별자치도,평창군,2.7758501040943786,4,0.26811714238903056,1481,33477.0,-1.1333047427422387,0.0,0.8412923306496186,0,고밀도 안정형,-0.11680496483704805,1.2,1.0277585010409438,1826.5324080499652,1877.2342098001377,50000000,4996530.187369881,9.993060374739763
강원특별자치도,홍천군,4.586129753914989,4,0.20625185778327784,1870,54949.0,0.08543474380262021,0.0,0.4308389527565133,1,저밀도 성장형,0.20650947862365343,1.2,1.04586129753915,2346.9127516778526,2454.5452156809756,100000000,16510067.11409396,16.51006711409396
강원특별자치도,화천군,3.062583222370173,4,0.5723226539207799,774,15368.0,-0.9402666265719127,0.0,2.859583858404036,0,고밀도 안정형,0.7677268927328493,1.2,1.0306258322237016,957.245272969374,986.5617060962655,50000000,5512649.8002663115,11.025299600532623
강원특별자치도,횡성군,3.5878564857405704,4,0.21879474022107984,1126,37841.0,-0.5866354804894727,0.0,0.5140563580900566,0,고밀도 안정형,-0.029031648959766454,1.2,1.0358785648574056,1399.6791168353263,1449.8975948082589,50000000,6458141.674333027,12.916283348666052
경기도,가평군,4.836415362731152,4,0.2762200405572474,2211,50984.0,0.253935204164314,0.0,0.8950520756352449,0,고밀도 안정형,0.4595949119198236,1.2,1.0483641536273116,2781.519772403983,2916.045621993934,50000000,8705547.652916074,17.41109530583215
